iter	Passed	Remaining
1389	189845	15023
1390	189994	14888
1391	190127	14751
1392	190267	14614
1393	190413	14479
1394	190548	14342
1395	190718	14208
1396	190852	14071
1397	190991	13935
1398	191131	13798
1399	191269	13662
1400	191413	13526
1401	191562	13390
1402	191720	13255
1403	191865	13118
1404	192013	12983
1405	192168	12847
1406	192311	12711
1407	192449	12574
1408	192592	12438
1409	192756	12303
1410	192910	12167
1411	193063	12032
1412	193202	11895
1413	193350	11759
1414	193490	11623
1415	193656	11488
1416	193798	11351
1417	193938	11215
1418	194082	11078
1419	194222	10942
1420	194373	10806
1421	194533	10670
1422	194680	10534
1423	194821	10397
1424	194963	10261
1425	195119	10125
1426	195260	9988
1427	195403	9852
1428	195584	9717
1429	195727	9581
1430	195869	9444
1431	196002	9307
1432	196151	9171
1433	196292	9034
1434	196422	8897
1435	196561	8760
1436	196685	8622
1437	196828	8486
1438	196983	8350
1439	197121	8213
1440	197280	8077
1441	197429	7941
1442	197577	7804
1443	197727	7668
1444	197870	7531
1445	198038	7395
1446	198179	7258
1447	198327	7122
1448	198484	6986
1449	198620	6848
1450	198780	6712
1451	198912	6575
1452	199036	6438
1453	199161	6300
1454	199291	6163
1455	199427	6026
1456	199563	5889
1457	199707	5752
1458	199856	5616
1459	199999	5479
1460	200149	5342
1461	200317	5206
1462	200456	5069
1463	200593	4932
1464	200734	4795
1465	200882	4658
1466	201031	4522
1467	201168	4385
1468	201297	4247
1469	201427	4110
1470	201571	3973
1471	201710	3836
1472	201838	3699
1473	201970	3562
1474	202131	3425
1475	202416	3291
1476	202577	3154
1477	202739	3017
1478	202868	2880
1479	203003	2743
1480	203140	2606
1481	203258	2468
1482	203383	2331
1483	203520	2194
1484	203652	2057
1485	203814	1920
1486	203982	1783
1487	204130	1646
1488	204409	1510
1489	204682	1373
1490	204979	1237
1491	205143	1099
1492	205298	962
1493	205459	825
1494	205620	687
1495	205841	550
1496	206161	413
1497	206334	275
1498	206500	137
1499	206674	0
